strategy,stop,time_window,filters,gap_ge,pm_selloff_le,extension_ge,ema_5_ext_ge,trades,train_trades,test_trades,train_mean_net,train_median_net,train_worst_year_net,train_yearly_lcb,train_yearly_std,test_mean_net,test_median_net,test_hit_rate,gross_mean,win_rate_net,score,allc1_o1_ge,o2_allc1_ge,pmc2_pmh2_le
GE,100,morning_0930_1059,gap >= 0.525253; pm_selloff <= -0.178526; extension >= -0.0167013; ema_5_ext >= 0.121739; time=morning_0930_1059,0.5252525252525253,-0.17852622061482826,-0.01670129622059444,0.12173914327963961,538,336,202,0.07785760998016067,0.15323429066113542,0.0650349910921644,0.0770246785158419,0.036965835350260344,0.05432040171445839,0.14104710260599929,0.7227722772277227,0.08976894571629387,0.741635687732342,0.14984703726155318,,,
RE,100,midday_1100_1359,extension >= 0.348653; ema_5_ext >= 0.147222; time=midday_1100_1359,,,0.34865289009086636,0.14722241252827845,1386,927,459,0.04592094942861736,0.0942491506822168,0.03180950694666625,0.040628771640512026,0.011762059763690722,0.057810787012404094,0.11005871978012438,0.7080610021786492,0.0707947084626985,0.6948051948051948,0.09991789253061373,,,
D2E,100,before_1400,allc1_o1 >= 0.196721; o2_allc1 >= 0.0780141; pmc2_pmh2 <= -0.0650056; extension >= -0.0102317; ema_5_ext >= 0.102044; is_d2=1; is_ah=0; time=before_1400,,,-0.010231722074100207,0.10204419159494742,451,302,149,0.07716712431221207,0.1038112280180751,0.040300881119937924,0.06714685541204912,0.03936334954556015,0.02103347809049727,0.08126079946790782,0.6375838926174496,0.07803586804241151,0.6917960088691796,0.12813734131101026,0.19672131467909937,0.07801414170463672,-0.06500563465335851
D2O,100,open_0930,allc1_o1 >= 0.264706; o2_allc1 >= 0.042093; pmc2_pmh2 <= -0.0957447; is_d2=1; is_ah=0; time=open_0930,,,,,466,317,149,0.04602016100079766,0.07376122322045763,0.022103784568770112,0.03254722659423831,0.015224673503020921,0.010370317795107966,0.05173758967582378,0.5436241610738255,0.05451038882426805,0.6158798283261803,0.08416391302194255,0.2647058379612814,0.0420930392864066,-0.09574465319386105
